Year,Apprehensions,President,Party,PCGdp,Decade,Deportations,VR,Administrative,EnforcementReturns,Criminal,Noncriminal,Title 42,Foreign Born,Naturalized,Noncitizen,Unauthorized population,US Population,App_lagged
1963,88712,Kennedy,1,3366.37,1960,7763,69392,,,,,,9738100,,,,189241798,92758
1962,92758,Kennedy,1,3236.01,1960,8025,54164,,,,,,9738100,,,,186537737,88823
1961,88823,Kennedy,1,3059.16,1960,8181,52383,,,,,,9738100,,,,183691481,70684
1960,70684,Eisenhower2,0,2999.86,1950,7240,52796,,,,,,9738100,,,,180671158,45336
1959,45336,Eisenhower2,0,2945.00,1950,8468,56610,,,,,,9738100,,,,177829628,53474
1958,53474,Eisenhower2,0,2763.00,1950,7875,60600,,,,,,9738100,,,,174881904,59918
1957,59918,Eisenhower2,0,2769.00,1950,5989,63379,,,,,,9738100,,,,171984130,87696
1956,87696,Eisenhower1,0,2674.00,1950,9006,80891,,,,,,9738100,,,,168903031,254096
1955,254096,Eisenhower1,0,2578.00,1950,17695,232769,,,,,,9738100,,,,165931202,1089583
1954,1089583,Eisenhower1,0,2412.00,1950,30264,1074277,,,,,,,,,,163025854,885587
1953,885587,Eisenhower1,0,2449.00,1950,23482,885391,,,,,,,,,,160184192,543535
1952,543535,Truman,1,2349.00,1950,23125,703778,,,,,,,,,,157552740,509040
1951,509040,Truman,1,2253.00,1950,17328,673169,,,,,,,,,,154877889,468339
1950,468339,Truman,1,1974.00,1940,10199,572477,,,,,,,,,,152271417,288253
1949,288253,Truman,1,1833.00,1940,23874,276297,,,,,,,,,,149188130,192779
1948,192779,Truman,1,1879.00,1940,25276,197184,,,,,,,,,,146631302,193657
