Class_in,Ethnic Marker,OCWhite,OCBlack,OCAIAN,OCChinese,OCFilipino,OCAsianIndian,OCVietnamese,OCKorean,OCJapanese,OCNatHaw,OCSamoan,OCChamorro,OCOPI,OCOther,OtherRace,PCWhite,PCLatino,PCBlack,PCAsian,PCAIAN,PCMENA,PCNHPI,StreetRace,LatinoIdentity,Other_LatIdentity,Crime_LI,Crime_I,Finance,Physical,Mental,Sleep,Tasks,Relationships,Discrim_Latino,Discrim_Black,Discrim_White,Discrim_Imm,Trump,Biden,Harris,Vance,AOC,Desantis,Newsom,Sanders,MTG,SCOTUS,Congress,CGA,MAGA,Democrat,Republican,American,Personal
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,5,,2,2,2,2,2,2,4,,,5,5,30,30,5,80,5,20,90,15,5,5,30,5,30,5,3,4
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,,4,2,2,1,1,2,2,,,2,3,31,,67,37,71,,57,68,,67,61,61,41,74,,2,3
1,,,,,,,,,,,,,,,,,,1,,1,,,,1,10,,,5,2,1,1,2,2,2,,,2,5,15,40,60,10,65,10,55,65,15,35,25,55,5,50,5,3,5
1,1,,,,,,1,,,,,,,,,,,,,,,,,4,1,,,5,4,2,1,2,2,2,3,,,5,0,10,13,0,55,0,10,70,0,10,0,40,0,5,0,2,5
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,5,,4,3,2,2,3,2,,1,,2,45,30,40,70,25,60,45,30,5,70,64,45,55,35,65,2,3
1,,,,,,,,,,,,,,,,,1,1,,,,,,1,11,,,5,2,2,1,2,2,3,,,2,5,0,65,60,18,70,0,75,82,0,60,30,70,0,45,35,2,4
2,3,,,,,,,,,,,,,,1,Hispanic ,,,,,,,,2,4,,5,,1,2,1,2,2,1,5,,,5,0,89,93,0,77,0,95,95,0,35,36,72,0,90,0,4,5
1,,,,,,,,,,,,,,,,,1,1,,,,,,2,10,,,3,2,2,2,2,2,2,,2,,4,72,,,82,,,41,,,,,,63,,85,1,3
1,3,,,,,,,,,,,,,,1,Latinx/Hispanic,,,,,,,,2,11,,4,,1,1,1,1,1,1,,,1,5,0,50,90,20,85,0,90,75,0,40,50,80,0,80,0,3,3
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,4,,4,3,1,2,2,1,,,2,5,0,60,75,1,95,5,75,90,10,40,20,60,0,55,0,3,4
1,1,1,1,,,,,,,,,,,,,,,,,,,,,3,1,,,5,2,1,1,1,1,1,,,1,5,0,22,88,0,100,0,34,78,0,6,19,,0,29,0,2,5
2,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,,4,2,1,1,1,1,2,,4,,5,0,70,85,0,70,0,80,65,20,30,50,50,0,75,25,2,4
1,1,,,,1,,,,,,,,,,,,,,,,,,,4,1,,3,,3,2,1,2,2,2,,,3,3,,,,,50,,50,,50,,50,50,50,50,50,3,3
2,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,4,3,2,2,2,2,2,4,,,,0,57,60,0,65,0,79,58,7,37,42,48,0,76,19,2,5
2,3,1,,,,,,,,,,,,,1,"Aztec, Mayan",,,,,,,,2,4,,,5,1,2,1,1,2,1,,,1,5,0,40,30,0,80,0,30,70,0,20,30,30,0,100,0,2,4
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,5,,2,2,1,1,2,2,,4,,4,0,35,70,0,70,0,35,100,,0,0,,0,0,0,2,4
1,,,,,,,,,,,,,,,,,,1,1,1,1,,,4,10,,5,,5,2,2,2,2,2,,3,,5,45,82,71,,60,,82,,,,,,10,,,3,2
1,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,5,,3,2,1,2,2,3,5,,,5,0,74,100,0,50,42,64,100,50,0,0,50,0,0,0,2,3
1,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,5,,1,1,2,1,2,2,,3,,4,0,70,95,0,85,10,80,90,5,35,55,60,0,75,25,2,3
1,3,,,,,,,,,,,,,,,,,,,,,,,2,4,,,4,2,1,1,1,1,2,4,,,4,0,66,67,25,,,69,,,31,31,,0,63,15,4,3
1,,,,,,,,,,,,,,,,,1,,1,,1,,,2,1,,5,,3,2,1,2,2,1,,5,,5,0,85,90,0,90,0,90,80,1,30,,,0,85,25,3,5
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,2,2,2,2,2,2,,4,,5,0,50,40,0,45,0,20,80,0,5,10,,0,30,0,2,4
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,5,,3,2,1,2,1,2,,,1,5,0,84,73,0,85,0,87,95,3,15,19,24,0,80,13,3,4
2,,,,,,,,,,,,,,,,,,1,,,,,,2,9,,5,,5,2,1,2,2,1,,,2,5,0,30,30,0,90,0,50,90,0,45,30,,0,35,5,3,5
1,,,,,,,,,,,,,,,,,1,,,,,,,2,1,,4,,2,2,1,1,1,1,,,1,5,0,66,78,0,75,0,62,86,14,53,63,65,0,73,31,3,5
1,,,,,,,,,,,,,,,,,,,,,,1,,4,1,,,2,1,3,3,3,3,3,,,2,3,95,82,79,86,75,89,86,82,84,87,83,85,100,85,79,4,4
1,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,4,,2,2,1,1,2,2,,4,,5,0,76,92,0,100,0,100,100,3,24,31,63,0,91,14,2,5
1,,,,,,,,,,,,,,,,,1,1,,,,,,1,11,,,5,3,2,2,2,2,2,4,,,4,0,28,33,0,80,0,62,80,0,7,13,83,0,20,0,2,5
2,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,,5,2,2,1,2,2,2,4,,,5,5,20,20,,,10,,55,10,40,45,,0,20,10,2,3
1,3,1,,,,,,,,,,,,,,,,,,,,,,1,4,,5,,2,2,1,1,2,2,,,1,5,0,78,90,0,79,0,66,90,0,65,42,60,0,68,20,2,4
1,,,,,,,,,,,,,,,,,,,,,,1,,6,1,,,5,1,3,1,1,1,3,3,,,4,10,20,20,5,70,30,55,100,70,40,10,60,0,21,10,2,4
2,2,1,,,,,,,,,,,,,,,,,,,,,,2,9,,4,,4,1,1,1,1,3,,4,,5,0,40,70,0,100,0,100,55,0,35,35,45,0,85,0,4,3
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,5,,3,2,2,2,2,2,,3,,3,0,85,90,5,80,5,85,80,6,33,20,80,0,70,20,2,3
1,3,1,,,,,,,,,,,,,,,,,,,,,,1,6,,,5,2,2,1,2,2,2,,,1,5,0,85,70,5,90,0,65,100,0,10,30,65,0,80,0,1,5
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,4,,3,2,1,1,2,2,,,4,5,0,80,90,0,80,0,85,90,10,20,50,75,0,70,0,3,3
2,3,,,,,1,,,,,,,,,,,,,,,,,,2,4,,,5,1,2,1,1,2,1,,,2,5,0,60,80,0,90,0,50,100,0,10,15,,0,60,20,3,5
1,,,,,,,,,,,,,,,,,,1,,,,,,1,6,,3,,3,2,1,2,1,2,,4,,5,10,20,30,20,50,50,70,,50,35,35,,5,24,25,3,3
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,,5,3,2,1,1,2,2,,3,,3,0,85,85,8,82,25,92,68,22,45,40,80,0,100,0,2,3
1,1,1,,,,,,,,,,,,,1,Thai and French ,,,,,,,,4,1,,5,,2,2,2,2,2,2,,3,,5,50,50,50,50,49,50,65,50,50,50,50,50,50,50,50,3,4
1,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,5,4,2,1,2,2,2,3,,,3,36,64,71,24,51,33,40,79,,37,28,22,4,47,29,2,2
1,1,,,,1,,,,,,,,,,,,,,,,,,,4,1,,4,,2,2,2,2,2,2,,2,,2,30,50,50,50,49,50,62,50,50,78,59,50,50,50,50,3,3
2,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,5,,2,1,1,1,1,1,5,,,5,0,69,64,5,94,24,79,100,0,23,28,47,0,60,6,2,4
1,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,5,,2,2,1,1,1,1,4,,,4,13,69,69,17,83,13,71,85,5,12,17,50,3,55,13,2,3
