democratic_party_therm,republican_party_therm,respondent_pid,respondent_race,respondent_gender,christ_fundementalist_therm,feminist_therm,labor_union_therm,poor_therm,big_biz_therm,rich_therm,police_therm,scientists_therm
85,60,1,2,2,85,85,85,100,15,70,70,70
50,50,1,2,1,50,50,60,50,50,50,50,70
40,40,4,1,1,50,50,40,70,40,50,70,70
60,30,1,1,2,50,70,60,70,60,60,100,100
40,60,5,1,1,40,50,40,60,40,50,70,70
40,40,7,1,1,50,60,40,50,60,70,60,100
0,0,5,1,2,40,15,30,100,70,85,100,100
70,60,4,6,1,70,85,60,100,60,85,100,100
30,40,5,1,1,60,50,60,70,50,50,60,50
15,50,6,1,2,50,50,40,50,85,50,70,70
85,0,1,2,2,15,70,70,100,40,50,40,100
30,30,5,1,1,60,50,60,100,50,50,85,70
60,40,3,1,2,40,100,70,100,40,100,85,85
60,50,2,1,2,50,40,50,60,50,50,60,70
85,0,1,1,1,0,50,50,50,40,50,50,85
40,60,6,1,2,85,60,60,85,60,85,100,100
70,30,6,1,2,60,60,50,50,30,50,70,85
50,40,4,1,2,50,70,50,50,50,50,70,70
50,50,3,2,1,50,50,85,100,15,50,50,100
50,40,5,6,1,50,50,50,30,70,50,60,70
70,70,2,3,2,70,70,60,60,60,60,70,70
60,50,2,1,1,50,50,70,70,40,15,70,70
50,50,4,1,2,60,50,50,50,60,50,85,60
30,60,5,6,1,30,40,60,60,40,40,70,55
70,50,2,2,1,70,85,70,85,60,70,85,85
100,70,1,6,1,85,85,50,100,50,50,100,100
50,60,5,5,2,70,60,85,70,50,50,70,70
60,60,2,1,2,40,50,60,60,40,30,60,70
85,30,1,1,2,70,85,60,85,70,70,85,100
30,60,7,1,2,50,40,40,50,50,50,100,50
60,60,4,1,1,85,85,60,85,70,70,85,70
15,85,6,1,1,40,15,15,70,30,30,100,85
60,0,2,5,1,50,85,50,60,30,50,60,85
50,60,4,6,1,70,50,50,70,40,50,70,60
15,70,2,1,2,70,50,100,85,85,70,100,85
15,15,6,1,1,70,40,30,50,40,30,70,60
85,0,1,1,1,30,0,0,50,70,60,85,100
70,0,3,2,1,70,85,100,100,40,85,60,85
0,100,7,1,2,100,15,15,50,15,50,100,50
40,40,2,1,2,40,70,60,50,70,50,70,70
70,70,2,1,2,60,50,50,70,40,50,70,50
40,60,5,1,1,30,40,40,50,40,40,100,100
60,60,5,1,2,30,100,70,85,60,40,85,85
10,75,6,2,1,50,0,50,65,50,50,70,50
60,60,4,1,2,50,50,50,70,50,50,70,100
70,15,1,1,1,15,85,70,70,85,70,100,100
15,15,5,1,2,50,50,0,50,70,50,85,100
100,0,3,5,2,40,50,60,70,50,0,30,70
60,20,1,1,2,15,60,40,50,15,50,40,50
60,15,2,1,1,0,85,85,85,50,50,85,100
85,50,1,3,2,50,50,85,70,50,50,85,60
85,50,1,5,1,60,0,100,100,100,80,100,100
0,100,5,1,1,85,60,50,60,50,50,100,85
50,60,6,5,1,50,50,60,60,60,50,100,85
15,70,7,1,2,70,60,60,50,60,50,85,70
85,40,3,6,2,100,100,100,85,100,100,100,100
30,50,5,1,2,50,70,85,60,50,30,85,85
0,40,7,1,1,70,40,30,70,70,60,85,85
70,40,3,1,2,40,70,60,70,40,50,85,85
70,15,3,1,1,10,70,80,70,40,55,45,90
85,15,2,5,1,70,85,50,70,50,50,50,80
50,50,5,5,2,100,100,100,100,100,50,100,85
15,15,5,1,1,100,40,40,100,70,100,100,100
60,15,3,1,2,30,70,50,50,40,50,60,85
30,30,3,1,1,50,50,50,50,40,50,85,60
30,60,7,5,1,70,50,60,50,40,50,100,50
40,60,6,1,2,40,60,60,100,60,40,100,100
40,0,3,5,1,0,60,100,70,30,40,40,100
50,50,4,1,2,50,50,50,50,50,50,50,50
15,85,5,1,2,50,60,40,70,40,60,85,85
60,85,6,3,2,85,70,60,85,85,50,85,100
50,0,1,1,2,0,85,70,60,0,15,60,100
100,15,1,2,2,30,50,70,35,50,30,30,85
60,30,1,5,2,50,50,50,70,15,40,60,70
15,50,6,6,1,85,0,40,50,50,50,85,85
70,30,1,1,1,50,70,50,70,40,40,70,70
50,50,4,5,2,50,70,50,85,50,40,50,85
60,15,2,2,2,50,50,85,70,40,40,100,50
50,85,4,1,1,85,50,70,60,30,0,85,50
90,10,1,1,2,40,100,85,100,70,100,70,100
70,15,3,5,1,0,50,60,70,40,60,70,70
50,60,6,1,1,50,50,50,50,50,50,60,50
55,50,3,1,1,60,60,70,60,40,40,70,60
60,15,2,2,1,0,100,100,100,85,100,100,100
50,30,3,5,2,40,60,50,70,15,60,85,85
85,0,3,1,1,0,90,70,100,10,20,30,100
0,50,7,1,1,70,50,60,85,70,70,85,70
30,85,7,1,1,50,50,70,100,70,85,100,50
0,60,5,5,1,50,50,85,100,50,85,100,85
50,30,4,6,1,30,70,60,60,60,60,40,100
0,15,5,1,1,50,50,40,50,60,50,100,85
85,15,4,5,1,100,70,30,85,85,85,40,100
70,85,5,5,2,70,100,50,85,100,70,60,60
40,60,5,1,1,50,50,70,50,50,50,60,70
0,60,6,1,1,50,50,0,50,60,50,85,70
60,70,2,1,2,85,85,100,85,70,70,85,85
85,50,3,2,1,70,100,100,85,65,100,50,85
30,60,7,1,2,70,40,40,100,15,100,50,100
0,85,7,1,2,70,50,40,85,60,70,85,50
0,50,7,1,1,50,0,0,40,50,50,50,50
0,0,1,1,2,0,0,50,40,0,50,100,40
85,50,1,5,2,60,70,50,85,50,60,70,70
85,15,1,1,1,15,60,60,60,50,50,70,85
100,0,1,2,1,85,100,100,100,0,0,0,0
100,50,1,1,1,85,50,85,70,85,85,60,85
85,30,2,1,1,30,85,65,80,60,50,90,100
0,0,3,1,2,0,30,30,60,85,60,85,0
60,85,5,4,2,30,60,85,50,30,0,70,85
70,60,1,1,2,50,70,70,85,40,70,85,85
70,30,1,1,1,30,100,100,100,15,60,85,100
60,50,3,5,2,40,40,60,60,40,60,85,60
30,30,5,1,1,30,50,50,50,60,50,50,100
40,40,6,1,2,60,70,50,50,40,50,60,70
40,40,5,3,2,0,60,60,60,60,60,60,100
60,15,1,1,2,0,85,60,50,15,50,60,60
85,60,4,2,2,70,60,70,85,70,70,60,60
100,15,1,1,2,0,100,85,100,30,50,85,100
40,90,7,1,2,50,40,40,60,50,50,75,75
85,0,1,1,2,50,50,70,60,40,60,85,60
40,70,6,1,2,50,40,30,100,60,70,85,100
60,70,3,1,1,60,50,60,50,50,60,60,70
50,50,4,1,2,50,50,60,60,85,70,85,60
15,85,7,5,1,50,0,20,100,50,90,80,30
100,60,1,2,2,85,50,80,80,85,50,85,60
15,70,7,1,2,100,70,100,100,100,100,100,100
15,15,2,2,1,40,60,70,80,60,70,50,60
70,50,2,1,1,50,50,85,70,40,50,70,70
50,15,4,5,2,50,50,50,50,50,50,70,50
50,50,4,1,2,50,100,100,100,40,100,70,100
40,60,7,1,2,40,60,40,60,50,50,100,85
50,60,5,1,1,50,0,70,50,60,85,15,100
0,100,7,1,2,70,50,85,100,0,50,100,60
40,70,7,1,2,40,50,70,85,40,40,70,70
100,0,1,2,2,60,70,60,85,60,40,60,60
100,50,1,1,2,85,100,85,100,60,100,70,100
85,15,1,1,2,30,100,85,100,30,85,85,100
70,30,2,5,1,85,60,70,85,70,50,85,100
80,80,1,2,2,50,50,50,40,50,50,50,60
100,0,1,2,2,50,100,100,100,85,100,100,100
15,30,5,1,1,40,40,60,70,60,50,70,70
50,50,5,5,1,50,50,60,50,50,50,60,60
0,0,3,1,1,50,100,100,85,0,50,70,100
30,70,7,1,1,50,40,70,50,60,50,85,60
70,30,2,6,2,50,85,85,100,70,85,60,100
15,60,7,1,2,70,30,50,70,60,50,30,60
50,50,3,1,2,50,50,85,100,85,85,85,85
40,85,6,1,1,30,50,15,60,85,100,100,85
50,100,7,1,2,50,60,60,70,50,70,100,85
70,50,1,1,2,60,85,70,100,70,100,100,85
40,60,6,1,1,50,50,40,15,60,50,70,60
0,60,7,1,2,100,0,30,100,100,100,100,70
50,50,7,1,1,85,50,60,85,50,50,100,50
60,40,1,1,2,15,85,60,85,60,60,85,85
50,40,6,1,1,70,60,50,85,60,50,100,100
15,60,7,1,2,100,0,50,100,60,70,100,100
25,35,6,1,1,50,40,50,50,40,50,70,85
15,60,6,1,2,50,50,30,70,60,60,100,50
85,30,1,1,1,60,60,50,60,30,60,85,85
60,70,4,1,2,85,40,40,85,40,40,85,50
60,30,2,3,1,30,60,50,70,70,50,60,85
60,40,3,1,1,50,60,70,50,0,40,85,85
30,60,4,1,2,30,40,85,70,40,50,70,85
60,60,3,1,2,85,100,100,85,70,50,85,100
3,10,5,1,2,100,1,100,100,100,10,90,90
70,0,1,1,1,100,70,70,50,70,40,70,70
40,50,5,1,1,30,50,50,70,60,40,85,60
40,15,3,1,1,40,60,60,85,50,50,85,85
50,50,4,1,1,0,50,60,85,40,40,60,60
50,50,5,1,1,60,50,40,50,60,50,85,70
0,60,6,5,2,40,40,0,100,60,50,100,60
0,0,5,1,1,100,0,50,100,60,50,100,40
0,30,7,1,1,85,85,40,40,15,30,85,60
30,40,5,1,2,50,70,50,70,70,70,100,70
60,60,6,1,1,60,50,50,70,40,30,85,70
85,15,1,2,2,50,95,70,100,40,60,60,80
30,60,5,1,1,50,50,30,85,50,50,100,50
15,40,5,1,1,60,15,50,50,70,50,85,50
30,30,4,1,1,40,50,50,85,50,50,85,85
85,0,3,5,1,15,100,50,100,30,15,40,85
50,60,6,1,2,70,60,85,70,60,60,85,70
90,90,1,2,1,85,60,85,30,85,15,30,85
30,15,5,1,1,30,40,50,60,50,70,85,100
50,50,2,1,2,0,70,60,60,60,40,60,60
50,85,7,1,1,85,60,50,60,50,70,85,50
50,50,3,1,2,50,50,50,50,50,50,100,50
60,85,6,5,1,100,70,85,85,85,85,100,100
50,50,3,6,1,0,100,60,50,50,50,65,100
60,15,1,1,1,70,60,30,85,60,60,85,70
85,0,1,1,2,60,100,100,100,15,100,85,100
30,100,7,5,1,70,50,50,50,70,50,85,50
30,70,7,1,1,60,60,40,50,60,70,70,70
15,60,7,1,2,85,40,30,85,50,50,70,70
85,50,4,5,2,50,40,80,90,80,30,70,30
100,0,1,1,1,0,70,100,85,60,70,85,100
0,100,7,1,1,100,85,50,100,50,50,100,100
40,60,5,1,1,60,40,50,50,50,50,70,70
50,50,5,1,2,100,50,50,50,50,50,100,50
40,30,3,1,1,50,60,50,70,50,60,85,85
70,50,5,1,1,50,50,50,50,50,30,100,100
50,50,6,1,1,60,60,50,60,50,60,70,70
70,30,1,1,2,40,70,70,85,40,50,60,60
50,70,7,1,2,100,40,40,70,40,70,70,70
100,0,1,2,2,50,0,100,100,85,0,85,100
0,70,5,1,1,60,0,30,100,50,50,60,85
15,60,6,1,1,50,0,0,85,60,60,85,70
85,50,1,5,2,50,50,60,70,60,50,50,70
50,50,4,1,2,85,70,70,85,70,60,85,85
40,40,3,1,2,50,50,50,50,50,50,85,50
50,50,3,5,2,50,50,50,50,50,50,50,50
15,0,5,1,1,40,50,40,50,50,50,70,85
70,0,1,2,2,85,85,100,85,70,70,60,70
60,15,3,1,1,50,50,60,70,30,50,70,60
85,60,1,1,1,40,60,85,85,40,40,85,70
70,40,6,1,2,50,50,60,70,85,50,85,85
60,60,2,5,1,60,70,70,70,15,70,70,85
70,70,6,5,1,100,15,60,85,70,70,85,70
85,15,1,1,1,60,85,70,85,60,0,70,70
50,50,6,1,2,50,50,50,70,50,40,50,50
0,0,5,1,1,70,60,30,100,70,70,100,70
70,30,2,1,2,50,50,50,50,50,50,100,50
40,15,1,1,2,15,50,50,50,40,50,50,50
15,70,7,1,1,70,70,30,60,70,50,100,70
40,40,4,2,1,85,60,60,15,60,60,50,85
60,30,2,1,1,30,50,60,70,40,50,85,70
0,70,6,1,2,30,40,15,50,30,50,70,50
30,60,7,1,2,70,15,15,50,70,50,100,50
70,0,5,1,2,30,85,40,85,40,50,85,100
60,60,5,1,2,100,40,85,100,85,100,100,100
85,0,1,1,2,0,70,60,60,30,40,70,85
100,30,1,5,1,40,100,100,100,70,100,85,100
60,50,3,5,1,50,60,60,50,50,50,50,50
50,50,3,5,1,50,85,85,85,50,85,85,100
30,60,6,5,2,50,40,40,50,40,70,70,50
85,15,3,1,2,15,70,60,50,50,30,70,85
60,40,2,1,2,40,70,40,50,40,50,100,85
0,0,4,1,1,0,0,60,60,30,0,50,60
85,15,1,1,1,50,85,85,50,70,60,70,85
60,40,6,5,1,70,60,70,70,50,50,70,60
60,15,1,1,1,50,60,60,50,50,50,60,70
50,50,1,1,2,50,85,70,50,50,50,85,85
60,15,2,1,1,0,60,70,60,0,15,60,85
70,15,1,1,2,50,50,30,70,30,0,60,60
60,40,2,1,1,40,50,70,60,40,50,70,70
15,60,6,1,2,85,0,30,85,85,85,100,85
40,40,6,1,1,60,85,70,100,85,60,100,85
40,50,4,1,2,0,50,70,85,30,100,85,100
85,10,2,1,2,10,75,50,75,25,50,60,50
100,0,1,2,2,50,50,60,85,50,50,100,60
0,15,2,1,2,60,70,60,85,40,50,70,100
15,85,7,1,2,60,40,40,70,70,70,85,70
70,50,2,2,1,85,15,50,50,40,30,70,70
30,60,7,1,1,60,30,70,70,60,70,85,85
15,60,6,1,1,50,30,15,50,40,50,70,60
70,85,6,5,1,40,85,50,100,40,85,85,100
15,15,5,1,1,0,0,0,70,60,70,100,60
70,15,2,1,1,30,70,60,70,70,40,60,100
50,50,2,1,2,100,100,50,100,50,100,100,100
15,15,4,1,2,50,50,100,50,50,50,30,50
0,85,6,1,1,15,50,40,85,50,50,85,85
40,50,5,1,2,50,15,70,60,50,50,100,70
50,50,4,1,2,50,50,50,70,50,50,85,50
100,0,1,2,2,100,70,85,85,50,40,60,100
85,30,1,1,2,40,100,70,70,60,50,85,70
0,0,4,6,1,60,50,50,85,50,50,50,50
60,85,5,1,1,100,50,40,100,70,40,85,100
60,50,3,3,2,50,85,60,85,15,50,70,100
50,50,4,5,2,50,50,50,50,50,50,50,50
85,15,3,6,2,70,50,70,85,60,50,85,60
50,50,3,5,1,60,50,50,50,60,50,50,70
90,80,5,2,1,85,70,85,85,85,40,85,100
0,85,7,1,2,85,0,40,100,100,100,100,85
70,40,2,1,2,60,70,85,100,40,100,85,85
60,30,3,1,2,85,85,50,100,70,50,85,100
50,85,6,6,2,100,60,0,100,30,30,85,60
0,85,7,1,2,85,15,15,85,50,70,85,85
30,60,6,1,2,50,70,70,70,50,70,85,70
50,80,4,1,2,85,70,70,85,85,85,100,100
60,15,3,1,1,0,85,85,85,0,15,50,100
60,40,3,1,1,30,60,50,70,30,40,85,100
85,40,1,1,2,70,85,60,100,30,70,100,85
15,40,6,1,1,60,60,60,85,50,60,100,85
0,70,7,1,2,85,30,50,60,70,85,70,100
60,30,1,1,1,40,70,70,70,30,60,70,70
50,50,4,1,1,50,70,60,50,60,50,85,85
0,100,7,1,1,60,50,30,60,70,50,70,70
60,0,5,1,1,0,50,40,50,0,30,90,100
60,15,1,5,2,0,85,85,85,60,85,70,85
100,50,1,2,2,50,70,100,100,70,70,85,85
40,60,2,1,2,70,70,60,85,50,60,70,85
20,70,5,1,1,50,50,0,50,60,60,70,85
60,40,2,1,1,50,60,50,60,70,60,85,70
85,30,1,5,1,70,85,50,100,70,60,85,70
40,40,5,1,2,50,40,40,70,50,50,70,60
50,50,6,1,2,50,40,50,60,40,40,100,60
70,70,5,5,2,70,60,85,100,50,85,85,100
0,60,7,1,2,100,0,85,85,60,60,60,70
30,85,7,1,1,70,30,40,50,70,60,70,60
85,40,1,2,2,50,85,85,85,40,50,30,50
0,100,4,1,1,40,0,100,100,100,0,100,60
70,60,2,1,2,70,70,70,85,15,15,85,70
50,50,3,5,1,50,50,60,70,40,40,70,60
85,15,2,4,2,30,70,50,70,60,70,85,60
85,15,2,5,2,60,100,70,100,40,30,30,40
50,50,4,5,1,0,40,60,50,40,50,100,70
50,50,6,1,2,50,70,60,85,70,85,99,100
30,0,3,1,1,0,100,85,70,0,0,0,30
40,60,5,1,1,70,50,15,50,15,60,85,70
52,0,1,2,2,100,100,85,100,100,100,70,40
60,0,3,1,2,0,100,100,100,0,50,40,100
0,70,7,1,1,50,15,15,50,60,60,100,60
70,70,3,1,2,100,50,100,100,100,70,100,50
15,70,7,1,2,100,15,60,70,60,85,100,60
30,40,6,1,1,40,60,50,50,40,50,70,70
25,40,5,1,1,0,50,40,50,60,50,75,100
70,85,6,5,1,100,85,70,100,70,60,100,85
85,15,1,1,2,40,85,70,60,30,50,85,85
40,70,6,1,1,50,50,50,60,50,50,50,60
50,40,4,5,1,50,60,70,60,50,40,50,40
85,30,1,1,2,30,0,15,60,30,15,60,70
60,30,3,2,1,50,70,60,85,50,50,85,100
50,50,3,1,2,60,70,70,85,30,50,85,70
85,40,1,2,2,60,50,80,60,45,40,60,100
60,50,3,1,1,30,85,50,85,50,50,85,100
50,85,3,1,2,85,15,70,100,30,0,0,85
85,0,3,6,1,0,100,50,100,30,40,100,100
60,70,6,1,1,60,50,85,50,50,50,100,70
15,60,6,5,1,50,50,50,100,60,100,85,70
15,60,5,1,1,15,30,50,50,60,50,85,85
0,85,7,1,1,100,15,40,85,40,85,100,50
50,70,7,1,2,50,100,85,100,85,15,100,70
70,60,1,5,2,85,70,70,85,50,50,60,50
30,70,7,5,1,70,0,50,60,40,60,85,70
60,85,3,1,2,85,40,70,100,30,70,100,85
50,15,1,1,1,70,50,40,50,40,40,50,85
85,30,2,1,1,40,85,60,70,60,70,70,100
85,50,2,1,2,50,60,50,50,50,50,85,60
70,15,1,1,2,15,85,70,85,0,40,85,100
0,50,5,1,1,15,0,0,50,50,70,50,40
90,90,3,1,1,40,40,15,70,85,15,50,60
60,70,6,1,2,85,50,85,85,40,70,100,70
85,60,2,1,2,100,50,0,100,60,100,85,100
30,85,7,1,2,40,15,70,60,60,60,100,85
60,60,5,1,2,0,50,50,50,40,50,60,70
70,40,3,1,2,0,60,0,70,50,50,85,85
30,70,7,1,1,85,0,40,50,60,50,100,50
60,70,6,1,1,70,60,70,60,60,50,70,70
40,60,6,1,1,60,50,40,70,40,50,85,50
0,70,7,1,1,85,15,0,100,0,50,100,85
30,50,4,1,2,70,100,100,100,50,50,60,85
15,85,7,1,2,50,60,60,100,85,0,100,85
0,0,4,1,1,50,30,60,70,15,40,40,100
70,0,1,2,1,15,60,85,100,0,50,85,100
40,40,6,1,1,40,50,30,50,30,50,60,100
25,75,7,1,1,50,0,85,100,50,30,85,60
50,70,6,1,1,50,0,40,100,25,25,100,40
15,50,5,1,2,50,70,15,70,60,50,70,50
0,60,5,1,2,50,0,0,100,60,60,70,70
70,40,2,1,2,40,70,40,70,60,50,85,85
40,40,2,5,2,40,50,30,70,40,40,85,50
0,70,5,5,2,60,100,100,40,60,60,85,40
0,70,7,1,2,0,50,50,50,70,50,100,50
15,60,7,1,2,85,15,40,100,50,50,85,50
65,30,1,1,1,40,70,65,80,35,50,80,70
50,85,7,6,1,85,85,40,85,60,50,70,60
70,15,3,1,1,60,100,30,85,15,40,15,100
0,30,5,1,1,75,50,0,90,60,85,100,85
85,30,2,2,1,70,85,70,100,40,50,50,50
30,30,7,1,1,0,30,30,50,30,40,60,50
15,40,6,1,1,50,60,70,100,70,85,85,100
50,50,4,6,1,50,50,85,85,15,50,100,85
40,70,7,1,2,85,40,40,70,60,70,85,70
70,30,3,1,1,60,60,50,70,30,50,60,60
55,45,3,1,1,0,60,70,50,50,50,70,100
50,50,4,1,2,50,50,50,50,50,50,50,50
60,50,1,2,2,85,70,85,100,85,85,85,100
70,50,1,1,2,70,100,85,85,30,50,100,100
0,30,5,1,1,50,0,0,70,70,100,100,50
40,60,5,1,1,60,50,50,60,60,50,85,85
0,30,4,1,1,40,0,40,50,40,50,70,100
70,30,2,2,2,50,50,50,100,50,50,50,100
70,0,1,5,2,50,100,100,100,30,50,30,100
50,50,5,1,2,70,85,40,60,40,50,100,85
100,0,1,5,2,60,60,70,70,85,70,70,85
15,60,7,1,2,85,70,50,100,85,70,85,100
0,85,7,1,2,50,50,70,85,70,60,100,85
15,60,6,1,1,60,50,40,60,85,60,90,85
40,30,2,2,2,40,50,50,60,40,40,40,60
40,60,4,1,2,50,30,50,50,50,50,100,50
70,40,1,1,2,30,90,70,85,40,50,70,90
50,50,1,2,1,85,80,65,80,60,80,80,85
40,40,4,1,2,50,60,50,100,40,70,60,85
100,15,1,1,2,0,100,85,100,40,30,100,100
70,30,2,1,2,30,60,85,50,50,50,50,85
70,50,4,2,2,70,50,50,60,0,50,30,70
0,100,4,1,1,40,85,30,85,60,70,100,100
0,0,5,1,1,70,50,30,70,70,50,85,50
50,50,5,1,2,60,60,50,60,60,40,100,85
70,70,3,5,2,100,70,70,85,85,85,85,85
60,30,1,1,1,0,85,20,70,65,5,75,85
65,10,1,1,1,45,50,55,50,2,50,25,75
15,60,6,1,1,70,30,0,100,30,100,80,85
60,0,3,1,2,0,85,85,85,15,50,85,100
30,70,6,1,1,50,50,50,50,70,50,100,50
0,0,2,5,1,40,60,50,60,50,60,50,50
40,60,6,1,1,60,60,30,70,60,50,70,85
100,15,1,1,1,15,100,70,100,15,50,85,100
40,40,6,1,2,50,50,40,70,30,40,70,85
40,70,6,1,2,70,50,60,85,15,0,100,40
40,60,5,1,2,50,40,40,85,60,60,85,50
0,15,5,1,2,100,0,50,100,70,100,100,70
0,100,7,1,2,70,15,100,85,70,50,100,70
75,10,1,1,2,15,100,60,100,50,50,60,100
15,15,7,1,1,15,0,15,85,85,85,85,85
85,50,1,1,2,15,100,60,85,60,85,100,70
51,50,4,1,1,60,85,16,52,0,32,99,70
53,54,4,1,1,50,75,50,50,50,50,50,50
50,40,6,1,1,40,50,50,50,40,50,85,85
85,40,1,5,2,15,97,61,85,31,19,62,100
56,40,3,1,2,52,29,66,67,37,50,84,62
99,10,1,1,1,71,59,89,95,13,11,89,89
80,0,1,1,1,0,100,50,50,50,10,70,100
0,70,7,1,2,50,50,30,50,60,50,85,50
70,15,1,1,2,30,100,15,60,70,40,100,100
60,70,4,1,2,61,1,0,85,42,17,59,71
85,30,2,2,2,0,30,50,50,30,30,30,60
39,57,4,6,1,60,60,70,60,50,60,70,100
0,60,7,1,1,50,50,30,60,70,50,100,85
0,40,5,1,2,50,0,6,98,50,50,97,85
10,69,5,1,2,63,59,49,84,55,67,92,66
30,70,5,1,1,50,10,70,45,40,55,60,40
85,10,1,1,2,0,85,70,50,50,50,50,100
1,70,7,1,1,52,15,12,50,70,85,71,69
0,100,7,1,2,100,60,50,60,40,45,77,70
60,15,4,2,2,85,100,50,100,15,50,70,100
61,32,3,1,1,0,50,61,50,40,50,40,92
85,70,7,1,1,16,30,51,51,57,50,70,100
100,50,1,1,2,100,0,50,100,40,50,100,50
86,50,1,2,2,40,53,100,66,53,51,99,54
30,70,7,1,1,60,50,30,60,70,50,85,60
15,50,5,1,1,60,50,16,50,60,50,85,50
0,70,6,1,2,51,50,85,91,28,51,97,47
15,70,7,1,1,99,51,40,85,85,51,85,85
85,40,1,1,1,60,85,50,70,40,50,85,60
60,100,6,1,1,100,88,100,100,73,89,99,55
88,21,1,2,2,79,74,73,87,55,60,84,87
60,60,4,1,2,50,15,15,60,30,30,100,50
50,50,4,3,2,60,50,50,70,60,60,60,100
63,45,3,1,2,50,50,60,60,60,60,85,60
50,50,6,1,1,88,95,54,100,73,84,100,99
60,48,4,1,2,75,75,42,71,32,37,68,82
0,30,4,1,1,50,50,70,80,70,0,75,100
0,0,4,1,2,60,70,40,70,0,30,0,60
100,0,1,2,2,70,100,60,100,0,0,0,100
2,72,6,1,1,87,49,31,50,30,51,79,79
100,0,1,2,2,0,100,100,0,40,40,40,100
60,0,1,2,2,85,85,70,100,60,30,40,30
0,100,6,1,1,100,85,0,100,50,40,100,70
50,50,6,1,1,85,15,85,85,30,60,100,100
0,0,4,2,2,70,50,30,70,0,50,0,85
93,0,1,1,2,1,70,51,70,30,39,85,85
65,35,4,5,2,10,70,60,50,40,50,70,100
85,15,1,1,2,0,85,60,85,15,70,100,85
70,0,2,1,1,0,100,60,60,0,38,10,97
100,0,1,1,2,30,60,75,80,50,60,80,75
60,30,2,1,2,15,85,50,40,40,40,30,85
15,70,7,1,2,70,65,50,95,51,80,85,54
0,0,6,1,2,40,50,40,40,85,60,70,70
85,30,1,2,1,0,0,100,85,85,70,70,85
60,5,3,1,2,0,85,60,50,5,40,75,85
30,51,6,1,1,52,28,47,51,50,51,81,88
51,85,7,1,1,75,51,51,79,50,79,93,86
15,70,7,6,1,50,15,70,50,50,50,100,85
40,40,6,1,1,31,41,68,52,41,62,71,86
85,30,1,1,2,30,85,85,50,30,50,70,85
40,85,6,5,2,50,85,15,30,100,70,100,85
30,70,7,1,1,50,50,50,70,40,50,85,50
60,60,1,5,2,50,60,100,100,100,100,100,100
30,60,6,1,1,50,85,0,70,60,60,100,100
15,85,6,1,1,30,15,15,70,70,65,75,90
1,51,4,1,1,30,51,15,85,41,85,100,100
10,60,6,1,1,50,30,15,50,50,50,85,50
60,50,4,5,1,70,0,0,85,0,50,0,85
60,60,2,1,2,40,40,40,60,30,40,70,60
70,85,6,3,1,85,100,100,100,100,85,85,100
16,59,7,1,1,58,31,9,60,72,61,83,87
16,50,5,1,2,50,30,40,70,31,15,98,60
30,30,2,1,2,60,70,85,85,70,30,85,85
85,0,1,1,2,50,100,70,100,60,85,100,100
0,60,7,1,1,50,0,0,50,85,85,100,30
0,100,7,3,1,85,85,50,70,15,50,85,70
60,30,4,5,2,85,15,70,100,85,70,70,100
0,100,7,1,2,85,40,40,70,50,50,100,50
0,100,7,1,2,40,50,85,84,82,75,96,85
15,49,4,1,1,50,50,50,50,40,50,70,50
92,31,1,1,2,15,100,60,60,30,40,70,85
50,30,5,4,2,0,15,15,85,30,0,60,62
30,20,6,3,1,42,50,35,51,41,50,70,70
50,50,2,1,2,30,40,60,50,40,70,70,60
60,30,6,1,2,0,85,15,60,40,40,60,70
71,61,2,1,2,40,52,73,50,47,62,88,84
60,20,4,1,2,50,62,70,85,16,17,43,41
50,50,4,1,2,50,50,50,50,50,50,70,50
73,39,2,1,2,53,45,61,100,73,41,87,74
40,40,6,1,1,70,30,50,77,50,61,70,61
14,31,5,6,1,0,50,50,50,50,50,100,30
30,60,5,1,2,40,40,0,50,50,50,85,85
50,70,5,5,1,70,60,85,70,85,50,70,70
60,15,1,1,2,0,50,55,85,60,70,75,95
0,0,4,2,1,0,0,100,0,15,15,15,0
100,15,1,2,1,70,50,85,70,50,60,85,85
0,100,7,1,2,85,30,30,50,50,50,85,50
30,60,7,1,2,50,30,30,85,50,85,100,60
90,60,2,3,2,60,15,15,70,85,60,85,90
0,40,5,1,1,31,50,16,71,70,61,85,77
85,0,1,1,1,0,50,60,70,60,50,70,85
40,70,6,1,2,85,15,60,60,70,50,85,40
50,50,3,5,2,52,63,53,62,64,53,90,74
1,61,7,1,2,10,80,0,61,92,50,100,100
70,30,1,1,1,20,50,50,60,35,50,70,80
40,60,6,1,1,40,50,65,85,40,60,70,70
70,40,1,1,1,70,70,70,85,40,50,40,70
95,65,3,3,1,86,90,50,75,85,70,85,80
2,30,7,1,2,50,15,25,50,60,50,90,50
15,70,7,1,1,50,50,40,50,85,50,90,90
0,70,7,1,1,100,25,50,45,50,75,100,70
30,0,4,1,2,15,70,85,70,30,40,70,85
40,0,1,5,3,0,70,60,85,15,0,60,60
70,0,3,4,1,100,96,100,100,86,60,100,100
79,26,1,1,1,0,100,85,100,16,40,71,100
70,40,2,1,2,30,50,50,50,50,50,70,85
70,15,1,1,2,50,70,80,75,50,50,100,50
85,15,1,1,1,0,90,70,100,50,40,100,100
30,30,4,1,1,13,61,43,53,23,16,61,85
50,0,3,5,1,70,30,0,40,15,50,70,100
