democratic_party_therm,republican_party_therm,respondent_pid,respondent_race,respondent_gender,christ_fundementalist_therm,feminist_therm,labor_union_therm,poor_therm,big_biz_therm,rich_therm,police_therm,scientists_therm
60,60,5,1,1,60,50,70,85,40,50,85,85
70,15,2,6,2,70,60,60,70,15,70,15,85
40,40,5,1,1,60,30,70,50,15,50,100,100
0,15,5,5,1,50,85,0,85,60,70,100,70
70,50,1,1,2,40,70,100,85,40,50,85,85
90,0,1,1,2,0,100,85,85,30,60,40,100
40,40,3,5,1,30,70,50,100,40,40,60,100
70,50,1,2,1,60,60,85,0,60,70,70,85
40,60,7,4,2,50,60,60,70,60,70,70,70
50,50,4,1,2,50,50,30,50,30,0,85,70
60,40,2,1,2,80,50,60,80,50,70,80,70
70,0,2,1,2,50,30,60,60,40,30,60,85
15,60,7,1,2,50,15,40,50,30,50,15,50
0,70,7,1,1,70,50,70,50,60,60,100,85
50,50,5,5,1,70,50,60,70,40,70,60,60
70,15,1,1,2,40,85,70,85,60,70,85,85
85,0,1,1,2,50,60,50,70,50,40,100,85
50,70,7,1,1,40,30,15,70,60,70,85,70
100,70,1,2,2,100,70,85,100,85,85,85,100
60,50,2,1,1,40,60,70,50,30,50,85,70
50,50,5,1,1,50,50,85,70,50,50,100,50
40,40,3,1,1,40,40,60,100,70,30,60,100
15,40,5,1,2,40,70,50,50,40,50,85,85
85,60,1,2,2,100,85,85,100,50,50,70,70
100,0,2,4,2,70,50,60,85,70,50,100,100
85,60,3,6,2,85,100,85,100,100,70,100,100
30,100,6,1,2,70,50,100,70,70,50,85,85
30,60,7,1,1,55,60,55,85,70,65,70,85
15,49,6,1,1,30,30,30,40,60,40,70,100
0,30,6,5,1,50,50,40,50,60,50,100,85
70,15,1,1,2,15,70,70,70,30,40,70,100
70,60,3,1,1,70,60,60,70,85,50,70,70
50,50,4,1,2,50,30,50,50,60,30,60,40
40,15,3,1,1,50,40,50,70,50,85,85,100
40,50,5,5,2,50,50,50,0,60,50,40,50
85,30,1,6,2,0,85,60,60,15,40,70,70
0,75,7,1,2,100,40,40,85,60,60,100,50
0,100,7,5,2,85,15,15,50,85,85,85,85
40,30,5,1,1,15,60,60,15,85,40,15,90
15,60,6,1,1,100,15,15,85,60,60,100,50
30,60,7,1,2,50,15,15,50,50,50,85,50
40,60,6,1,2,40,40,70,50,60,50,85,70
50,30,7,1,1,50,50,30,50,50,50,70,85
70,50,3,2,1,100,100,100,100,100,85,100,100
70,70,3,2,2,100,60,60,70,70,50,100,85
100,0,1,1,1,70,70,85,85,15,50,85,70
15,40,5,1,2,40,60,40,60,40,50,60,85
100,0,1,1,2,0,100,85,100,40,30,70,100
15,60,5,1,1,60,85,15,70,70,70,100,100
60,70,5,1,2,85,60,40,85,70,70,70,70
60,60,2,1,2,60,30,60,70,60,50,70,60
15,85,7,1,2,60,40,30,85,50,70,85,70
85,0,1,3,2,0,100,50,50,60,50,60,100
30,70,6,1,1,70,50,30,60,70,50,85,70
15,15,1,1,1,15,0,100,70,30,60,100,100
15,60,5,1,2,50,100,85,100,50,50,100,85
10,40,5,1,1,70,50,30,85,50,50,85,50
30,60,7,1,1,100,85,0,85,15,60,70,70
60,40,7,1,1,40,40,50,40,60,40,60,80
50,50,5,1,1,50,50,70,85,50,50,100,100
60,60,4,2,2,85,30,70,85,70,50,70,70
70,30,3,1,2,15,70,60,100,0,50,60,85
15,60,7,1,1,70,30,30,85,50,50,85,70
40,40,5,1,2,40,50,30,60,40,40,70,60
0,100,7,1,2,70,50,50,60,40,70,85,100
15,60,7,1,2,100,0,30,100,100,100,100,85
60,60,5,6,2,60,60,70,85,100,60,85,70
100,0,1,5,2,30,50,50,100,50,60,85,85
