date,one,None,Level1,Level2,Level3,gender_binary
2023-03-17,538,322,114,58,44,408
2023-03-18,83,41,9,13,20,73
2023-03-19,77,44,9,7,17,70
2023-03-20,639,468,99,31,41,453
2023-03-21,682,469,125,42,46,486
2023-03-22,688,498,96,49,45,511
2023-03-23,603,417,93,46,47,431
2023-03-24,567,310,147,52,58,441
2023-03-25,155,114,18,9,14,117
2023-03-26,75,30,7,14,24,69
2023-03-27,574,393,96,30,55,425
2023-03-28,662,454,131,44,33,482
2023-03-29,741,479,158,63,41,583
2023-03-30,702,417,165,68,52,523
2023-03-31,566,310,152,59,45,438
2023-04-01,56,23,11,10,12,52
2023-04-02,109,48,22,14,25,104
2023-04-03,599,429,102,32,36,420
2023-04-04,679,471,111,57,40,481
2023-04-05,678,467,102,54,55,481
2023-04-06,620,391,133,47,49,458
2023-04-07,490,278,111,47,54,394
2023-04-08,127,92,12,7,16,94
2023-04-09,61,33,8,11,9,44
2023-04-10,581,411,103,29,38,412
2023-04-11,586,401,92,50,43,425
2023-04-12,712,490,105,65,52,509
2023-04-13,651,450,102,47,52,472
2023-04-14,634,386,136,60,52,532
2023-04-15,54,24,11,8,11,47
2023-04-16,139,82,17,13,27,128
2023-04-17,619,437,99,47,36,466
2023-04-18,612,418,112,42,40,467
2023-04-19,734,506,111,53,64,535
2023-04-20,585,369,105,55,56,458
2023-04-21,539,301,131,61,46,428
2023-04-22,168,113,19,14,22,123
2023-04-23,82,39,11,11,21,70
2023-04-24,619,417,115,46,41,449
2023-04-25,656,424,140,45,47,487
2023-04-26,673,466,100,46,61,500
2023-04-27,555,360,97,47,51,442
2023-04-28,511,273,96,73,69,402
2023-04-29,164,117,15,18,14,133
2023-04-30,108,63,16,13,16,97
2023-05-01,613,411,102,47,53,463
2023-05-02,584,393,93,57,41,423
2023-05-03,650,425,120,46,59,477
2023-05-04,586,400,106,43,37,439
2023-05-05,506,272,117,57,60,396
2023-05-06,82,47,12,11,12,67
2023-05-07,79,39,19,13,8,67
2023-05-08,605,415,97,54,39,460
2023-05-09,653,415,126,60,52,512
2023-05-10,711,448,148,63,52,539
2023-05-11,642,427,123,46,46,494
2023-05-12,656,379,166,68,43,576
2023-05-13,100,52,8,10,30,91
2023-05-14,84,40,19,8,17,73
2023-05-15,546,385,83,33,45,415
2023-05-16,571,359,117,49,46,441
2023-05-17,615,399,103,46,67,473
2023-05-18,551,333,117,41,60,445
2023-05-19,431,227,101,61,42,355
2023-05-20,116,74,13,5,24,92
2023-05-21,60,34,9,4,13,55
2023-05-22,494,304,99,48,43,389
2023-05-23,642,447,100,52,43,486
2023-05-24,634,379,140,48,67,503
2023-05-25,552,340,110,46,56,432
2023-05-26,536,271,161,43,61,456
2023-05-27,75,40,13,10,12,74
2023-05-28,86,49,10,16,11,76
2023-05-29,89,55,13,7,14,86
2023-05-30,532,346,98,45,43,407
2023-05-31,666,426,108,65,67,506
2023-06-01,563,311,119,69,64,461
2023-06-02,533,269,149,55,60,424
2023-06-03,102,68,17,8,9,77
2023-06-04,78,46,14,6,12,65
2023-06-05,549,344,106,50,49,402
2023-06-06,602,374,124,44,60,456
2023-06-07,584,382,94,49,59,433
2023-06-08,558,329,124,54,51,436
2023-06-09,503,276,125,50,52,398
2023-06-10,155,107,22,12,14,103
2023-06-11,68,33,10,6,19,57
2023-06-12,541,332,109,46,54,423
2023-06-13,575,361,119,50,45,451
2023-06-14,559,335,98,61,65,420
2023-06-15,583,360,120,56,47,463
2023-06-16,475,199,158,65,53,391
2023-06-17,143,107,14,2,20,100
2023-06-18,95,55,16,8,16,82
2023-06-19,98,57,17,9,15,85
2023-06-20,659,450,108,56,45,505
2023-06-21,651,423,129,42,57,503
2023-06-22,572,363,108,48,53,444
2023-06-23,476,240,121,70,45,403
2023-06-24,140,100,12,7,21,92
2023-06-25,64,35,13,6,10,61
2023-06-26,567,376,102,36,53,421
2023-06-27,534,321,120,39,54,413
2023-06-28,597,381,113,50,53,452
2023-06-29,619,397,100,57,65,472
2023-06-30,422,199,124,50,49,348
2023-07-01,98,49,20,14,15,87
2023-07-02,94,50,15,14,15,85
2023-07-03,426,244,103,48,31,338
2023-07-04,84,51,8,10,15,75
2023-07-05,526,312,118,39,57,411
2023-07-06,556,345,113,45,53,436
2023-07-07,515,274,121,64,56,414
2023-07-08,153,96,14,9,34,118
2023-07-09,84,37,10,9,28,71
2023-07-10,586,388,105,46,47,421
2023-07-11,583,365,127,41,50,442
2023-07-12,657,415,120,64,58,504
2023-07-13,526,299,100,67,60,423
2023-07-14,436,225,131,37,43,359
2023-07-15,142,95,20,11,16,99
2023-07-16,63,26,18,6,13,60
2023-07-17,460,284,100,44,32,355
2023-07-18,525,302,112,55,56,412
2023-07-19,533,322,110,47,54,441
2023-07-20,520,309,103,43,65,415
2023-07-21,492,227,144,56,65,418
2023-07-22,134,87,14,10,23,98
2023-07-23,92,52,17,4,19,81
2023-07-24,511,325,84,48,54,405
2023-07-25,576,343,117,55,61,461
2023-07-26,667,424,115,51,77,516
2023-07-27,593,346,112,57,78,472
2023-07-28,470,239,124,54,53,393
2023-07-29,90,53,8,7,22,71
2023-07-30,53,26,7,3,17,50
2023-07-31,487,301,91,34,61,376
2023-08-01,466,285,109,32,40,347
2023-08-02,494,313,105,48,28,383
2023-08-03,515,285,128,41,61,414
2023-08-04,458,190,145,63,60,392
2023-08-05,166,117,16,8,25,134
2023-08-06,78,44,7,12,15,68
2023-08-07,403,273,72,34,24,301
2023-08-08,493,317,101,36,39,371
2023-08-09,544,324,118,41,61,427
2023-08-10,508,295,114,50,49,394
2023-08-11,408,177,130,45,56,341
2023-08-12,126,93,12,9,12,85
2023-08-13,68,31,9,7,21,51
2023-08-14,421,246,103,31,41,320
2023-08-15,475,269,123,44,39,367
2023-08-16,486,267,99,67,53,397
2023-08-17,496,301,90,43,62,369
2023-08-18,394,155,150,42,47,340
2023-08-19,72,46,9,6,11,49
2023-08-20,88,53,7,13,15,75
2023-08-21,439,283,83,28,45,351
2023-08-22,531,350,105,31,45,396
2023-08-23,595,369,123,54,49,449
2023-08-24,463,283,98,37,45,346
2023-08-25,404,205,112,50,37,330
2023-08-26,158,123,15,8,12,123
2023-08-27,184,143,18,1,22,159
2023-08-28,459,261,110,40,48,361
2023-08-29,521,324,99,38,60,418
2023-08-30,501,291,97,56,57,403
2023-08-31,474,279,112,44,39,377
2023-09-01,397,193,134,36,34,330
2023-09-02,93,66,10,5,12,69
2023-09-03,109,63,11,6,29,77
2023-09-04,121,61,25,11,24,102
2023-09-05,439,271,111,21,36,338
2023-09-06,450,259,108,36,47,357
2023-09-07,472,262,109,39,62,355
2023-09-08,408,167,142,44,55,320
2023-09-09,126,92,14,4,16,79
2023-09-10,87,58,5,7,17,69
2023-09-11,462,233,96,41,92,367
2023-09-12,444,253,95,45,51,332
2023-09-13,507,289,111,46,61,393
2023-09-14,441,247,98,43,53,350
2023-09-15,370,178,110,41,41,302
2023-09-16,82,63,9,5,5,63
2023-09-17,88,54,11,12,11,75
2023-09-18,442,273,87,47,35,350
2023-09-19,473,276,116,39,42,383
2023-09-20,541,376,93,39,33,399
2023-09-21,474,287,99,47,41,361
2023-09-22,486,292,118,49,27,349
2023-09-23,204,160,22,10,12,148
2023-09-24,143,117,10,6,10,124
2023-09-25,475,328,77,36,34,360
2023-09-26,676,487,124,32,33,555
2023-09-27,581,394,86,47,54,448
2023-09-28,583,379,112,54,38,491
2023-09-29,426,184,148,45,49,363
2023-09-30,80,48,18,7,7,67
2023-10-01,78,30,17,14,17,74
2023-10-02,381,218,88,44,31,314
2023-10-03,430,236,102,52,40,365
2023-10-04,494,294,100,43,57,387
2023-10-05,448,250,101,58,39,360
2023-10-06,402,160,151,51,40,357
2023-10-07,114,91,9,6,8,89
2023-10-08,134,103,11,11,9,126
2023-10-09,106,68,11,8,19,84
2023-10-10,445,248,117,36,44,341
2023-10-11,479,272,113,47,47,374
2023-10-12,467,251,119,49,48,344
2023-10-13,404,168,140,44,52,342
2023-10-14,131,97,6,11,17,89
2023-10-15,106,75,11,8,12,83
2023-10-16,357,200,82,36,39,284
2023-10-17,423,252,96,33,42,347
2023-10-18,564,341,113,52,58,436
2023-10-19,428,228,105,52,43,356
2023-10-20,406,162,129,59,56,354
2023-10-21,150,112,11,9,18,99
2023-10-22,87,53,11,5,18,76
2023-10-23,400,250,83,34,33,306
2023-10-24,469,243,132,50,44,380
2023-10-25,480,277,92,43,68,353
2023-10-26,473,238,115,56,64,376
2023-10-27,405,161,129,56,59,358
2023-10-28,53,22,5,7,19,52
2023-10-29,69,33,8,9,19,50
2023-10-30,401,238,93,33,37,335
2023-10-31,395,193,104,46,52,313
2023-11-01,472,259,108,50,55,370
2023-11-02,472,238,113,65,56,378
2023-11-03,350,146,114,35,55,299
2023-11-04,103,77,7,6,13,70
2023-11-05,68,38,9,5,16,60
2023-11-06,407,224,100,43,40,327
