Arrest_Month,All,Federal_Incarceration,State_Incarceration,Local_Incarceration,287gProgram,Community_Arrest,Other,President,ObamaTerm
2016-02,8736,1904,915,2727,220,2378,592,Obama,2
2016-03,9622,1928,962,3147,270,2694,621,Obama,2
2016-04,9447,1918,861,3086,260,2744,578,Obama,2
2016-05,9612,1870,843,3271,262,2743,623,Obama,2
2016-06,9107,1815,828,3185,298,2596,385,Obama,2
2016-07,8479,1616,837,2964,276,2370,416,Obama,2
2016-08,10176,1972,964,3398,322,3039,481,Obama,2
2016-09,9496,1673,875,3273,331,2681,663,Obama,2
2016-10,9367,1671,866,3220,428,2252,930,Obama,2
2016-11,8984,1844,765,2988,363,2456,568,Obama,2
2016-12,8965,1997,741,2951,386,2246,644,Obama,2
2017-01,9548,1749,880,3292,418,2697,512,Obama,2
2017-02,11530,1691,817,4186,627,3778,431,Trump,
2017-03,14063,2289,930,5399,644,4275,526,Trump,
2017-04,12355,1810,812,5034,718,3562,419,Trump,
2017-05,13516,1812,989,5595,755,3793,572,Trump,
2017-06,13913,1725,935,5894,709,4113,537,Trump,
2017-07,13498,1525,822,5953,723,3856,619,Trump,
2017-08,14369,1956,874,6585,764,3547,643,Trump,
2017-09,13083,1889,820,5750,627,3345,652,Trump,
2017-10,13922,1629,917,6277,824,3401,874,Trump,
2017-11,13078,1675,783,5580,748,3124,1168,Trump,
2017-12,12242,1884,812,5348,727,2668,803,Trump,
2018-01,13101,1972,968,5292,945,3332,592,Trump,
2018-02,13164,2039,904,5093,816,3728,584,Trump,
2018-03,13626,2019,1038,5451,903,3407,808,Trump,
2018-04,13251,1922,909,5189,851,3716,664,Trump,
2018-05,14206,2162,944,5651,855,3715,879,Trump,
2018-06,13221,2036,910,5363,842,3216,854,Trump,
